yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;toplam_yolculuk_sayisi
2024;1;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Üsküdar;28443;61944
2024;1;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Burgazada;3294;7079
2024;1;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Kartal;13839;41844
2024;1;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;Çubuklu Arabalı;9724;26314
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beşiktaş;17473;27080
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Yeni Kabataş;14798;28020
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;ORTAKOY;23428;40721
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU BOGAZ;117899;183053
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beykoz;5463;11647
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Fener;6863;11116
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eminönü - Üsküdar;57819;105590
2024;1;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Çayırbaşı;138783;225392
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eyüp;15311;21643
2024;1;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Beşiktaş;292115;622892
2024;1;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;;343;612
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ortaköy;7041;10723
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kandilli;640;2033
2024;1;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Bostancı;24444;59234
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Balat;2620;4227
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Emirgan;4365;7039
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BURGAZADA;6094;15982
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kanlıca;2375;4134
2024;1;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;İstinye;10873;28989
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Karaköy;10383;14752
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;;17903;34998
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;YENI Kabataş;30440;64946
2024;1;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Karaköy;59381;135106
2024;1;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Yeniköy;7182;22448
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beylerbeyi;1812;4852
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KINALIADA;4437;11787
2024;1;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Eminönü;88154;142818
2024;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Eminönü;108526;168175
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kasımpaşa;18115;35048
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kanlıca;3424;5340
2024;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;;663;738
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ayvansaray;1224;1808
2024;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Topçular;4982;9034
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Üsküdar;207959;324242
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Yenikapı;1;1
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ortaköy;9385;13725
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Hasköy;8226;14539
2024;2;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Beykoz;7858;20687
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy Yeni;1;1
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çengelköy;13279;40448
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY YENI;181150;313066
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BUYUKADA;38835;80484
2024;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Sirkeci-Harem;14304;24675
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Karaköy;13142;18537
2024;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Eskihisar;5203;9414
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bebek;7729;12689
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Yeni Kabataş;21774;36786
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sütlüce;4352;7021
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Fener;9866;14929
2024;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Kınalıada;4224;10398
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;HEYBELIADA;13450;33202
2024;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Üsküdar;294138;664460
2024;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Yeni Kabataş;19;19
2024;2;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Heybeliada;5402;12977
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Paşabahçe;1395;3718
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Kavağı;6746;10826
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;;29426;57317
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BOSTANCI;1860;4823
2024;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;YENI Kabataş;46356;101025
2024;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Karaköy;73420;154212
2024;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;;2;2
2024;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Beşiktaş;343615;700463
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Balat;3742;5756
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beykoz;7658;14258
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sarıyer;13666;24611
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bostancı;13709;28026
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Arnavutköy;6419;11682
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU BOGAZ;98059;151974
2024;2;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Büyükada;16601;41667
